ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours
2082,Low,Ticket 82 problem description,In Progress,IT_Support_B,3/13/2024 14:00,6
2083,High,Ticket 83 problem description,In Progress,IT_Support_A,5/19/2024 4:00,19
2084,Critical,Ticket 84 problem description,Resolved,IT_Support_A,3/1/2024 4:00,5
2085,Medium,Ticket 85 problem description,Resolved,IT_Support_B,7/16/2024 6:00,3
2086,Medium,Ticket 86 problem description,Open,IT_Support_B,1/11/2024 12:00,1
2087,High,Ticket 87 problem description,Waiting for User,IT_Support_A,8/13/2024 6:00,38
2088,Medium,Ticket 88 problem description,Resolved,IT_Support_B,2/21/2024 3:00,15
2089,Medium,Ticket 89 problem description,Resolved,IT_Support_C,2/28/2024 7:00,35
2090,Medium,Ticket 90 problem description,Open,IT_Support_B,5/27/2024 21:00,35
2091,Medium,Ticket 91 problem description,Resolved,IT_Support_C,8/30/2024 12:00,38
2092,Medium,Ticket 92 problem description,Open,IT_Support_C,4/16/2024 1:00,35
2093,Medium,Ticket 93 problem description,In Progress,IT_Support_C,8/5/2024 8:00,61
2094,Medium,Ticket 94 problem description,Open,IT_Support_B,8/28/2024 2:00,18
2095,High,Ticket 95 problem description,Resolved,IT_Support_C,9/18/2024 4:00,70
2096,Medium,Ticket 96 problem description,Resolved,IT_Support_C,9/17/2024 21:00,37
2097,Medium,Ticket 97 problem description,Resolved,IT_Support_C,2/16/2024 22:00,79
2098,Low,Ticket 98 problem description,Resolved,IT_Support_A,6/25/2024 8:00,27
2099,Medium,Ticket 99 problem description,Resolved,IT_Support_B,4/8/2024 19:00,8
2100,Low,Ticket 100 problem description,Resolved,IT_Support_A,8/28/2024 9:00,46
2101,Medium,Ticket 101 problem description,Resolved,IT_Support_A,6/26/2024 17:00,25
2102,High,Ticket 102 problem description,Resolved,IT_Support_B,3/2/2024 16:00,17
2103,Low,Ticket 103 problem description,Resolved,IT_Support_C,8/3/2024 2:00,91
2104,Medium,Ticket 104 problem description,Resolved,IT_Support_C,6/8/2024 2:00,91
2105,Medium,Ticket 105 problem description,Resolved,IT_Support_A,9/25/2024 23:00,15
2106,Critical,Ticket 106 problem description,Open,IT_Support_C,3/29/2024 8:00,36
2107,Medium,Ticket 107 problem description,Open,IT_Support_B,3/8/2024 13:00,46
2108,Medium,Ticket 108 problem description,Resolved,IT_Support_C,4/7/2024 10:00,33
2109,Medium,Ticket 109 problem description,In Progress,IT_Support_C,4/14/2024 23:00,35
2110,Low,Ticket 110 problem description,Resolved,IT_Support_B,5/2/2024 8:00,29
2111,High,Ticket 111 problem description,Open,IT_Support_A,7/13/2024 1:00,44
2112,Medium,Ticket 112 problem description,Resolved,IT_Support_C,6/18/2024 8:00,87
2113,Medium,Ticket 113 problem description,Waiting for User,IT_Support_A,2/9/2024 4:00,3
2114,High,Ticket 114 problem description,In Progress,IT_Support_A,8/13/2024 23:00,20
2115,Medium,Ticket 115 problem description,Open,IT_Support_C,5/3/2024 14:00,51
2116,Medium,Ticket 116 problem description,In Progress,IT_Support_A,2/7/2024 7:00,15
2117,Medium,Ticket 117 problem description,Resolved,IT_Support_C,9/7/2024 4:00,55
2118,High,Ticket 118 problem description,Resolved,IT_Support_A,6/24/2024 17:00,30
2119,Medium,Ticket 119 problem description,Open,IT_Support_C,2/6/2024 15:00,32
2120,Critical,Ticket 120 problem description,Resolved,IT_Support_A,10/10/2024 4:00,7
2121,Low,Ticket 121 problem description,In Progress,IT_Support_C,3/21/2024 17:00,70
2122,High,Ticket 122 problem description,Resolved,IT_Support_C,2/9/2024 12:00,89
2123,Medium,Ticket 123 problem description,Resolved,IT_Support_A,8/11/2024 18:00,20
2124,Low,Ticket 124 problem description,Resolved,IT_Support_B,7/4/2024 2:00,36
2125,Medium,Ticket 125 problem description,Resolved,IT_Support_C,2/25/2024 7:00,43
2126,Low,Ticket 126 problem description,Open,IT_Support_B,2/9/2024 12:00,38
2127,High,Ticket 127 problem description,Resolved,IT_Support_A,8/24/2024 0:00,22
2128,Low,Ticket 128 problem description,Resolved,IT_Support_B,9/18/2024 23:00,2
2129,Medium,Ticket 129 problem description,Resolved,IT_Support_B,5/26/2024 15:00,24
2130,Low,Ticket 130 problem description,Resolved,IT_Support_C,6/16/2024 0:00,41
2131,High,Ticket 131 problem description,In Progress,IT_Support_B,2/28/2024 15:00,11
2132,High,Ticket 132 problem description,Resolved,IT_Support_B,6/17/2024 12:00,13
2133,High,Ticket 133 problem description,Resolved,IT_Support_A,2/14/2024 20:00,17
2134,Medium,Ticket 134 problem description,Resolved,IT_Support_B,6/18/2024 3:00,8
2135,Low,Ticket 135 problem description,Open,IT_Support_B,7/9/2024 5:00,21
2136,Low,Ticket 136 problem description,Resolved,IT_Support_A,7/6/2024 6:00,18
2137,Critical,Ticket 137 problem description,In Progress,IT_Support_C,5/12/2024 10:00,41
2138,Low,Ticket 138 problem description,Waiting for User,IT_Support_B,2/14/2024 18:00,18
2139,Medium,Ticket 139 problem description,Resolved,IT_Support_B,1/31/2024 22:00,46
2140,Medium,Ticket 140 problem description,Resolved,IT_Support_C,6/8/2024 10:00,42
2141,High,Ticket 141 problem description,Resolved,IT_Support_B,6/6/2024 6:00,31
2142,Low,Ticket 142 problem description,Resolved,IT_Support_C,3/22/2024 3:00,54
2143,High,Ticket 143 problem description,Open,IT_Support_B,9/14/2024 13:00,32
2144,Medium,Ticket 144 problem description,Waiting for User,IT_Support_A,3/17/2024 11:00,11
2145,Low,Ticket 145 problem description,Resolved,IT_Support_B,10/21/2024 1:00,45
2146,High,Ticket 146 problem description,Resolved,IT_Support_B,8/11/2024 12:00,25
2147,Medium,Ticket 147 problem description,Resolved,IT_Support_C,2/15/2024 16:00,74
2148,High,Ticket 148 problem description,Open,IT_Support_A,8/20/2024 16:00,38
2149,Medium,Ticket 149 problem description,Resolved,IT_Support_A,8/10/2024 1:00,41
